state,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Alaska,0,0,0,0,0,0,0,13000,12800,12650
Arizona,114300,131500,160450,162750,160900,152700,171350,175050,162850,141100
Arkansas,0,58850,62300,64200,64650,63750,64550,61350,60300,61400
California,757000,769850,793100,796200,805500,828300,817550,835850,831900,812950
Colorado,58550,59150,56250,57600,59350,60650,63600,69700,70450,72650
Florida,304600,325250,356150,351850,353850,369150,404500,423000,432750,444350
Georgia,181400,190550,202650,183950,206600,205100,200400,202050,202150,199250
Hawaii,20850,22550,22450,21200,21250,21600,23700,23950,24250,25300
Illinois,267050,276600,291800,297200,298600,306250,301150,296700,294600,277800
Indiana,94450,99400,101250,100200,97950,99500,101450,106950,107850,111950
Iowa,32050,33550,38300,40100,40600,42600,43650,44250,43600,42450
Kansas,35950,39350,42950,42750,38450,38100,38200,37550,37700,33250
Kentucky,86500,95600,98900,106250,106600,106350,99550,105600,102800,100250
Louisiana,0,0,0,0,0,140200,138300,132550,137350,107550
Maine,0,0,0,25400,25300,24150,24200,24550,24600,22850
Maryland,103850,106700,113050,116350,116950,120650,129000,131300,128550,123350
Michigan,147550,166100,167150,171700,180000,185300,185750,188800,185750,182300
Minnesota,72600,77450,78400,76700,66700,64200,66350,71700,85150,78800
Missouri,124300,130750,131550,131500,132750,134650,140450,145100,142950,138350
Montana,0,0,0,0,0,0,11650,11300,11250,11700
Nebraska,20400,21200,23850,23900,23400,24150,24450,23850,21050,18300
Nevada,29550,33550,34400,34850,33850,35800,35300,41700,43000,41700
New Jersey,57200,68900,73000,72850,75350,82250,87050,90800,111500,113050
New Mexico,0,0,0,0,0,0,41650,39750,38300,38150
New York,485300,554900,589550,571200,542900,501850,521750,533950,586050,576550
North Carolina,165600,175000,181850,186700,190300,197850,197300,200250,195200,200250
North Dakota,0,0,0,0,0,0,0,0,10050,9900
Oklahoma,0,0,79800,84800,86250,84100,87450,87050,86550,86500
Oregon,54200,54800,54150,55000,55600,59050,58150,60800,62800,58550
Rhode Island,19050,19200,20650,21300,20900,20400,20050,20000,20100,19450
South Carolina,82700,85200,88400,91850,94650,89750,75500,81050,80300,90850
South Dakota,13850,11000,11000,11300,11550,11450,11850,11850,12100,12450
Tennessee,144700,165350,162950,144100,139700,141950,138900,127850,122750,127500
Texas,481750,471150,473300,502500,478900,476400,518600,508000,495650,484350
Utah,36500,37750,38700,39300,37450,38600,39800,41200,40450,40700
Vermont,8600,8950,8800,8700,8850,9150,9500,9600,9300,8950
Virginia,0,0,0,89900,94950,96400,101050,103550,102400,101450
Washington,96250,96350,100950,104100,105350,104250,106900,108100,105900,95150
West Virginia,39500,39900,38100,40650,43000,42550,46500,50250,49050,49300
Wisconsin,62300,66800,75850,78950,80650,84100,94350,97850,96100,94500
Wyoming,0,0,0,0,7250,6800,7300,6250,6500,6600
