state,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Alaska,0,0,0,0,0,0,0,12750,13600,13250
Arizona,194500,218150,231250,219650,216150,238750,245550,256500,255850,244900
Arkansas,0,165100,165050,161500,155700,154650,151700,140750,139350,140800
California,1129900,1115600,1140800,1114200,1099100,1138250,1120050,1158000,1149600,1122950
Colorado,109350,110550,114500,117350,119600,122400,122650,132300,132850,131100
Florida,953150,965650,1006550,979250,970400,1001400,1006650,1036750,1045000,1058250
Georgia,298800,296050,315250,310650,310850,318500,315550,320900,318900,320700
Hawaii,38600,37250,40100,39850,39850,39550,40850,39700,34250,35450
Illinois,573900,579650,590750,573950,560450,578650,543150,545850,553150,541550
Indiana,284900,288150,300300,279100,268050,279050,274250,277350,284000,292400
Iowa,164100,163300,166650,163350,158950,163550,151000,148950,143600,137850
Kansas,128800,135200,137200,143650,134500,132950,125750,124250,124800,121900
Kentucky,218700,220350,214850,223150,221300,214850,219150,204000,226200,212250
Louisiana,0,0,0,0,0,209650,197600,186650,191600,187500
Maine,0,0,0,62650,63500,64100,63350,60800,60750,57750
Maryland,232550,232850,243900,243200,243700,250600,247100,240500,231800,225150
Michigan,472200,480750,494650,488700,480250,492900,479900,484600,485900,482750
Minnesota,199150,206700,202600,194850,192650,188200,183500,185050,186750,184450
Missouri,335550,335050,337800,336000,327450,329350,319800,315850,309900,300000
Montana,0,0,0,0,0,0,36300,34850,31850,34150
Nebraska,66650,74250,84850,87000,84350,87150,79350,83100,79750,77750
Nevada,56500,60200,62250,62550,64300,82250,81200,85200,86200,86650
New Jersey,413750,422600,409100,405950,409450,404250,398100,389950,382450,385950
New Mexico,0,0,0,0,0,0,54150,53250,52150,53600
New York,804500,854600,877800,871750,861500,856850,856600,854500,858200,825300
North Carolina,372800,372450,374900,364650,355150,349900,339700,354600,347700,344250
North Dakota,0,0,0,0,0,0,0,0,36200,36500
Oklahoma,0,0,188650,188100,189850,186950,177800,182850,176900,173900
Oregon,108450,107500,106150,105950,102650,129000,118800,123050,126400,127550
Rhode Island,53150,54000,55650,55550,52050,51450,49650,48750,49900,48050
South Carolina,188050,186500,189350,186850,187050,177950,174200,174350,171050,190100
South Dakota,46000,46600,47250,45250,43300,44300,46800,45650,45250,45850
Tennessee,309850,313000,321850,323000,326600,330350,333650,333750,326050,334900
Texas,882450,827300,848500,839100,801150,777950,752600,766550,762600,844800
Utah,55150,57300,59200,56050,50150,50000,49150,55750,60700,64200
Vermont,21500,21000,20900,20800,21050,20600,19500,19850,19450,19600
Virginia,0,0,0,287150,283100,290700,290050,294550,295500,300200
Washington,171550,174550,182700,184300,183950,183950,182700,185050,186150,189300
West Virginia,118150,118050,113850,114500,112800,108100,106050,111450,115100,112650
Wisconsin,240950,241850,250350,243600,240750,246000,240800,233400,232950,234400
Wyoming,0,0,0,0,12250,13150,13200,10100,11000,11200
