state,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Alaska,0,0,0,0,0,0,0,16100,15800,15550
Arizona,180800,182050,170700,173250,174950,192050,171150,165000,159700,154150
Arkansas,0,80200,78750,79750,77250,72250,70250,65050,64900,67150
California,936400,924450,928300,923600,924300,938300,895100,860100,831150,797850
Colorado,149850,144150,142900,143000,144150,142500,138700,128100,125950,122550
Florida,541350,545350,566100,556050,558250,554650,525350,486300,461000,450150
Georgia,268850,268300,267700,275500,271150,258550,237600,223150,209950,205950
Hawaii,35750,36300,35950,35700,35400,34900,33300,31550,30200,29900
Illinois,460000,448650,445850,434050,435150,433100,396100,378450,371450,370850
Indiana,208700,207550,210300,205700,212000,201650,189550,183900,176150,156300
Iowa,96950,93050,92800,92750,93700,92300,87500,84500,83400,79950
Kansas,97100,91750,91750,92650,92350,89600,85450,81600,80350,79650
Kentucky,129750,122950,121250,117700,119500,145650,129400,126100,121150,114850
Louisiana,0,0,0,0,0,139000,130650,121200,122350,123650
Maine,0,0,0,34600,33800,33300,31950,29650,28600,27300
Maryland,214300,216150,221950,219500,218700,218900,215650,202450,189650,177300
Michigan,421600,395100,397400,384650,364750,360400,341900,323700,319950,311200
Minnesota,225800,228050,225850,226800,226000,224000,216900,178850,170200,163100
Missouri,216000,214200,217950,218000,215250,213450,203600,195550,187450,181850
Montana,0,0,0,0,0,0,25200,24500,24150,21650
Nebraska,67600,58300,62100,62650,60950,60600,63050,64950,63850,63800
Nevada,74500,78800,86000,87000,88850,86350,84050,75800,70500,64650
New Jersey,365150,366650,336300,335300,337600,327950,326400,306500,276900,277950
New Mexico,0,0,0,0,0,0,37650,35100,33000,31750
New York,626700,640750,621150,613500,615700,576550,570750,555850,556000,535500
North Carolina,247200,257750,255950,254400,245350,249100,245350,239600,230200,229500
North Dakota,0,0,0,0,0,0,0,0,27900,28900
Oklahoma,0,0,109700,107950,108750,103950,102250,97300,93700,92150
Oregon,105450,104450,104850,109750,111100,107800,98950,93150,89950,83550
Rhode Island,35550,35400,35050,35000,35850,35350,34000,31250,29800,27550
South Carolina,138250,133000,137150,134600,134250,134600,134250,130050,121000,99750
South Dakota,24800,27650,27000,27000,29050,30650,29450,28600,28500,29800
Tennessee,207550,194250,196600,199300,201900,199450,190950,182600,176750,173650
Texas,694400,675700,690050,702250,687950,703000,693900,672000,666250,643000
Utah,85900,86550,89100,90800,91700,94400,89650,86400,87300,86300
Vermont,14450,13950,13950,13350,12800,13050,12550,11950,11800,11850
Virginia,0,0,0,250050,248800,243650,229500,215650,216100,212350
Washington,167200,165850,168650,175950,181800,185700,181900,174850,170550,172050
West Virginia,60200,63800,60500,56950,56250,56700,56850,52650,53000,50700
Wisconsin,198050,194400,194650,189300,187500,182600,167050,155550,151300,150200
Wyoming,0,0,0,0,12500,13050,13000,9600,10350,9750
