state,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Alaska,0,0,0,0,0,0,0,7150,7350,7350
Arizona,17500,20400,21100,23900,26650,25950,26250,27400,38000,54000
Arkansas,0,28350,27400,26650,29000,28650,29400,28050,27100,26450
California,198750,208650,212650,208800,215500,221650,217950,235350,241400,251650
Colorado,36450,39450,41550,43800,44850,45100,45750,41000,41550,38550
Florida,155800,165500,189300,197550,198550,201800,205850,203800,209300,212550
Georgia,59500,61400,70500,73000,54800,74550,79850,83200,81150,84700
Hawaii,3100,2700,2200,2650,3400,3000,2300,2900,2300,2050
Illinois,69900,75900,78700,82650,87150,93000,90150,90950,89300,94750
Indiana,31050,37000,27300,26350,24300,46100,41750,42250,43950,44900
Iowa,10250,10600,10850,11150,10550,9900,9750,9700,8250,8150
Kansas,13350,15800,14200,16500,19500,19600,20550,21000,19500,20650
Kentucky,21050,26850,31150,30450,34500,29700,42800,44100,42250,42750
Louisiana,0,0,0,0,0,25850,21450,20700,24050,25700
Maine,0,0,0,4600,4600,5250,6100,5450,5350,7100
Maryland,34250,36950,40500,43550,45700,43500,43250,43800,41250,39800
Michigan,23400,20700,26250,32600,37600,40250,41600,40700,39350,40150
Minnesota,12750,13200,18800,14100,13250,13900,11550,8500,6650,5650
Missouri,35850,38100,41700,44500,45350,48800,50100,54100,55350,58450
Montana,0,0,0,0,0,0,6450,7150,7500,8000
Nebraska,2900,2700,3100,3650,4350,5300,5100,6800,7250,7350
Nevada,11650,15100,19150,18100,22350,30300,31350,29300,28350,29850
New Jersey,98300,105250,98400,97400,98550,92450,94950,96100,95200,98550
New Mexico,0,0,0,0,0,0,16500,16100,19300,18700
New York,100850,106900,89750,111700,121050,117250,117100,109300,79500,71150
North Carolina,57500,58900,63500,69100,69300,69850,69850,72150,70700,67500
North Dakota,0,0,0,0,0,0,0,0,1900,2250
Oklahoma,0,0,32300,34350,32350,30100,29800,29500,29200,30950
Oregon,13300,14000,14050,14350,15450,22500,22650,22200,19950,19200
Rhode Island,4300,4800,4700,5150,5800,5500,6300,6650,7100,7400
South Carolina,38550,40750,46100,43550,48000,51150,49850,48000,52000,52250
South Dakota,2950,2800,2300,3200,2550,2350,2350,2350,2350,2450
Tennessee,28150,24350,36750,53050,57550,55200,59150,62850,62450,61900
Texas,205550,237950,239000,242900,244000,240400,245600,254100,263550,264750
Utah,6600,6900,5300,5550,10000,9400,9150,10800,11500,11350
Vermont,1950,1950,1950,2000,2100,1850,1750,1300,1100,1100
Virginia,0,0,0,42850,45950,46350,52600,56900,59700,61100
Washington,16650,22150,23550,24150,24700,22900,24150,27500,29750,28600
West Virginia,11900,11650,12000,13750,14000,13550,13250,13850,14650,14000
Wisconsin,18700,19500,20450,20900,21050,22600,22700,21000,23000,24300
Wyoming,0,0,0,0,5400,5750,5500,4600,4600,4900
