State,State_Code,Hospitalization_Type,Expected_Payer,Y2003_Q1,Y2003_Q2,Y2003_Q3,Y2003_Q4,Y2004_Q1,Y2004_Q2,Y2004_Q3,Y2004_Q4,Y2005_Q1,Y2005_Q2,Y2005_Q3,Y2005_Q4,Y2006_Q1,Y2006_Q2,Y2006_Q3,Y2006_Q4,Y2007_Q1,Y2007_Q2,Y2007_Q3,Y2007_Q4,Y2008_Q1,Y2008_Q2,Y2008_Q3,Y2008_Q4,Y2009_Q1,Y2009_Q2,Y2009_Q3,Y2009_Q4,Y2010_Q1,Y2010_Q2,Y2010_Q3,Y2010_Q4,Y2011_Q1,Y2011_Q2,Y2011_Q3,Y2011_Q4,Y2012_Q1,Y2012_Q2,Y2012_Q3,Y2012_Q4,Y2013_Q1,Y2013_Q2,Y2013_Q3,Y2013_Q4,Y2014_Q1,Y2014_Q2,Y2014_Q3,Y2014_Q4
Alaska,AK,All Adult Hospitalizations,Medicaid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,2200,2150,2150,2200,2200,2150,1900,2050,2150,2100,2100,,,,,,,,
Alaska,AK,All Adult Hospitalizations,Medicare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2700,2900,3050,2850,2900,3100,3150,2900,2950,3050,3100,2900,,,,,,,,
Alaska,AK,All Adult Hospitalizations,Private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3600,3900,3900,3800,3650,3900,3700,3600,3300,3700,3750,3650,,,,,,,,
Alaska,AK,All Adult Hospitalizations,Uninsured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1450,1650,1600,1550,1600,1500,1600,1550,1650,1600,1600,1600,,,,,,,,
Alaska,AK,Injury,Medicaid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,50,50,50,100,50,100,50,100,50,50,100,,,,,,,,
Alaska,AK,Injury,Medicare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,150,200,150,150,200,250,200,200,150,200,150,,,,,,,,
Alaska,AK,Injury,Private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,200,250,150,150,200,200,150,150,150,250,150,,,,,,,,
Alaska,AK,Injury,Uninsured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,200,200,200,200,200,250,150,150,200,200,150,,,,,,,,
Alaska,AK,Maternal,Medicaid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100,1250,1200,1100,1100,1100,1100,1050,1050,1100,1100,1150,,,,,,,,
Alaska,AK,Maternal,Medicare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska,AK,Maternal,Private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1050,1100,1150,1050,1000,1150,1100,1050,1000,1050,1150,1000,,,,,,,,
Alaska,AK,Maternal,Uninsured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,150,150,150,100,100,100,200,200,200,150,,,,,,,,
Alaska,AK,Medical Cond-Asthma,Medicaid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska,AK,Medical Cond-Asthma,Medicare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,
Alaska,AK,Medical Cond-Asthma,Private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,50,,,,,,,,,,,
Alaska,AK,Medical Cond-Asthma,Uninsured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,
Alaska,AK,Medical Cond-CHF,Medicaid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska,AK,Medical Cond-CHF,Medicare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,150,150,150,150,100,100,100,100,100,,,,,,,,
Alaska,AK,Medical Cond-CHF,Private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,50,,,,,,,,,
Alaska,AK,Medical Cond-CHF,Uninsured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,50,,,50,,,,,,,,
Alaska,AK,Medical Cond-Diabetes,Medicaid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,50,50,50,50,50,50,50,,50,50,,,,,,,,
Alaska,AK,Medical Cond-Diabetes,Medicare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,50,50,50,,50,,,50,50,,50,,,,,,,,
Alaska,AK,Medical Cond-Diabetes,Private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,50,50,,50,50,50,50,50,50,50,50,,,,,,,,
Alaska,AK,Medical Cond-Diabetes,Uninsured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,50,50,50,50,50,,50,50,,,,,,,,
Alaska,AK,Medical Condition (All),Medicaid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,500,500,550,600,550,550,400,500,500,450,500,,,,,,,,
Alaska,AK,Medical Condition (All),Medicare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600,1800,1800,1750,1900,2000,1950,1800,1800,1950,1800,1750,,,,,,,,
Alaska,AK,Medical Condition (All),Private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900,1000,1050,800,950,1100,1000,800,900,1000,1000,950,,,,,,,,
Alaska,AK,Medical Condition (All),Uninsured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,550,650,650,600,650,650,650,700,650,600,650,650,,,,,,,,
Alaska,AK,Mental Health,Medicaid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,150,150,150,200,150,100,150,150,150,150,,,,,,,,
Alaska,AK,Mental Health,Medicare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,50,50,50,50,50,50,50,50,50,50,50,,,,,,,,
Alaska,AK,Mental Health,Private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,150,200,150,200,200,200,250,200,150,200,200,,,,,,,,
Alaska,AK,Mental Health,Uninsured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,300,250,250,250,250,250,250,200,200,200,200,,,,,,,,
Alaska,AK,Surgical,Medicaid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,250,250,300,300,300,300,300,250,300,300,300,,,,,,,,
Alaska,AK,Surgical,Medicare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900,850,950,950,800,850,950,900,900,900,1050,950,,,,,,,,
Alaska,AK,Surgical,Private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1350,1450,1250,1600,1350,1300,1150,1400,1100,1300,1200,1400,,,,,,,,
Alaska,AK,Surgical,Uninsured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,400,350,350,350,350,350,350,400,400,400,400,,,,,,,,
Arizona,AZ,All Adult Hospitalizations,Medicaid,19600,20400,21600,20450,19700,20100,27450,27550,27000,28050,30600,29100,28000,29050,29900,28550,26950,27650,30500,28600,24650,24700,31500,29150,30000,30900,33950,32700,32200,33050,35650,32550,32300,31650,31300,27000,25700,24550,26100,24050,23500,23200,24400,23450,28900,29350,,
Arizona,AZ,All Adult Hospitalizations,Medicare,44400,39950,41200,47700,53700,46700,44500,48800,56050,51450,46050,52100,56200,47950,43450,48100,54950,47600,42850,47400,60400,53400,47150,52100,60400,54400,49500,54650,63000,56300,51800,57400,65300,56150,51800,54850,62550,54450,48150,53350,62300,52150,47350,51050,59150,52700,,
Arizona,AZ,All Adult Hospitalizations,Private,38450,40100,45650,45100,44450,45100,40700,40400,39350,40600,40150,39900,39400,40600,41350,41200,40850,41500,41250,40300,47050,47400,42700,42500,39900,40050,40350,39850,38450,39100,38700,38450,37500,37650,37300,36700,36300,35850,36100,35400,33550,34250,33550,33250,32700,33350,,
Arizona,AZ,All Adult Hospitalizations,Uninsured,3250,3250,4050,4050,3800,4100,4450,4400,4050,4350,4500,4400,4150,4500,5700,5700,5600,5650,5800,5350,5300,5550,5700,5250,5100,5300,5850,5600,5200,5700,6000,6250,5900,6900,9550,9750,10500,11200,11800,11650,11600,12000,12300,11500,7300,6500,,
Arizona,AZ,Injury,Medicaid,1100,1250,1350,1100,1050,1300,1650,1450,1400,1750,1750,1650,1550,1750,1600,1500,1400,1600,1850,1550,1300,1550,1600,1500,1600,1850,2000,1850,1850,2000,2150,1900,1750,2000,1700,1150,1150,1150,1100,950,900,1000,1000,900,1400,1650,,
Arizona,AZ,Injury,Medicare,2350,2350,2350,3000,3050,2750,2650,3100,3300,2900,2850,3200,3150,2850,2750,3100,3150,2800,2650,3100,3600,3150,2800,3250,3550,3300,3100,3650,3700,3450,3300,3900,4000,3450,3400,3800,3900,3500,3200,3700,3900,3300,3200,3750,3750,3550,,
Arizona,AZ,Injury,Private,1500,1700,2000,1900,2050,2100,1600,1700,1650,1800,1800,1700,1650,1700,1750,1800,1750,1900,1850,1750,2000,2150,1700,1750,1800,1800,1700,1700,1550,1700,1650,1650,1650,1750,1750,1700,1650,1750,1650,1600,1450,1600,1500,1400,1450,1500,,
Arizona,AZ,Injury,Uninsured,350,450,750,700,700,750,800,650,700,750,800,750,650,700,900,800,850,850,850,700,750,900,800,700,750,800,850,750,700,800,850,850,700,850,1300,1250,1350,1500,1500,1450,1400,1500,1500,1300,750,800,,
